Coin Name,Crypto Filter,Date,Close**,High,Low,Market Cap,Open*,Volume
Ethereum - ETH,False,3/23/2022,3031.07,3036.75,2933.31,363981070562,2973.15,16008767658
Ethereum - ETH,False,3/24/2022,3108.06,3118.39,3012.33,373268685628,3031.06,18070503166
Ethereum - ETH,False,3/25/2022,3106.67,3183.96,3087.49,373143966537,3108.45,17030503831
Ethereum - ETH,False,3/26/2022,3143.18,3146.83,3091.83,377571096915,3106.41,8876420740
Ethereum - ETH,False,3/27/2022,3291.58,3291.58,3130,395441924036,3143.8,13431866834
Ethereum - ETH,False,3/28/2022,3336.63,3424.02,3279.03,400900140647,3292.32,20620450770
Ethereum - ETH,False,3/29/2022,3401.99,3470.19,3335.02,408798491703,3335.02,19533323636
Ethereum - ETH,False,3/30/2022,3385.16,3435.29,3349.24,406821918325,3401.53,15302506131
Ethereum - ETH,False,3/31/2022,3281.64,3435.13,3272.93,394425928251,3385.29,17685495686
Ethereum - ETH,False,4/1/2022,3449.55,3467.56,3223.89,414654032151,3282.58,20982988937
Ethereum - ETH,False,4/2/2022,3445.06,3521.28,3442,414159902497,3449.79,23571556215
Ethereum - ETH,False,4/3/2022,3522.83,3573.96,3421.26,423557081705,3444.81,15333808649
Ethereum - ETH,False,4/4/2022,3521.24,3535.15,3422,423413008036,3522.36,18209969743
Ethereum - ETH,False,4/5/2022,3411.79,3546.71,3410.55,410298423739,3521.24,16681503199
Ethereum - ETH,False,4/6/2022,3171.69,3411.67,3171.2,381466903809,3411.67,25632563639
Ethereum - ETH,False,4/7/2022,3233.27,3263.47,3155.58,388917301310,3172.2,16745496605
Ethereum - ETH,False,4/8/2022,3192.07,3301.61,3179.14,384004266017,3233.27,17557050669
Ethereum - ETH,False,4/9/2022,3261.92,3261.96,3187.47,392450014876,3191.98,9908112156
Ethereum - ETH,False,4/10/2022,3211.87,3303,3211.87,386471827351,3261.29,10427054790
Ethereum - ETH,False,4/11/2022,2981.05,3214.46,2962.76,358739023179,3209.58,21891804831
Ethereum - ETH,False,4/12/2022,3030.38,3077.45,2957.87,364715602736,2981.42,20235707410
Ethereum - ETH,False,4/13/2022,3118.34,3123.58,3006.48,375344730159,3029.88,16088473629
Ethereum - ETH,False,4/14/2022,3019.91,3139.93,2988.44,363537133351,3117.82,15821419931
Ethereum - ETH,False,4/15/2022,3040.92,3044.29,3001.12,366106878801,3020.13,11256651536
Ethereum - ETH,False,4/16/2022,3062.31,3074.89,3016.42,368723505202,3041.12,8766710365
